,Blue_champ_1,Blue_champ_2,Blue_champ_3,Blue_champ_4,Blue_champ_5,Red_champ_1,Red_champ_2,Red_champ_3,Red_champ_4,Red_champ_5,blueAssists,blueAvgLevel,blueCSPerMin,blueDeaths,blueDragons,blueEliteMonsters,blueExperienceDiff,blueFirstBlood,blueGoldDiff,blueGoldPerMin,blueHeralds,blueKills,blueTotalExperience,blueTotalGold,blueTotalJungleMinionsKilled,blueTotalMinionsKilled,blueTowersDestroyed,blueWardsDestroyed,blueWardsPlaced,blueWins,gameId,lowest_lvl_blue,lowest_lvl_red,redAssists,redAvgLevel,redCSPerMin,redDeaths,redDragons,redEliteMonsters,redExperienceDiff,redFirstBlood,redGoldDiff,redGoldPerMin,redHeralds,redKills,redTotalExperience,redTotalGold,redTotalJungleMinionsKilled,redTotalMinionsKilled,redTowersDestroyed,redWardsDestroyed,redWardsPlaced
0,Sona,Zoe,Trundle,Ezreal,Nasus,Neeko,Tryndamere,Thresh,Miss Fortune,Lee Sin,5.0,7.2,20.9,8.0,0.0,0.0,-29.0,1.0,-389.0,1639.6,0.0,7.0,18362.0,16396.0,36.0,209.0,0.0,3.0,20.0,1.0,4515839148.0,67.0,140.0,10.0,7.0,21.3,7.0,1.0,1.0,29.0,0.0,389.0,1678.5,0.0,8.0,18391.0,16785.0,51.0,213.0,0.0,2.0,13.0
1,Kassadin,Ornn,Taliyah,Wukong,Garen,Caitlyn,Malphite,Shen,Cassiopeia,Jarvan IV,11.0,7.2,17.8,5.0,1.0,2.0,2032.0,1.0,2107.0,1705.8,1.0,11.0,18736.0,17058.0,49.0,178.0,0.0,0.0,15.0,1.0,4527239272.0,191.0,59.0,1.0,6.6,21.1,11.0,0.0,0.0,-2032.0,0.0,-2107.0,1495.1,0.0,5.0,16704.0,14951.0,48.0,211.0,0.0,1.0,26.0
2,Maokai,Ezreal,Gragas,Rakan,Pantheon,Katarina,Riven,Kalista,Elise,Thresh,5.0,6.6,21.0,7.0,0.0,0.0,-1459.0,0.0,-1937.0,1501.3,0.0,4.0,16013.0,15013.0,41.0,210.0,0.0,2.0,15.0,1.0,4495044073.0,131.0,103.0,10.0,6.8,19.7,4.0,0.0,1.0,1459.0,1.0,1937.0,1695.0,1.0,7.0,17472.0,16950.0,52.0,197.0,0.0,3.0,11.0
3,Blitzcrank,Rengar,Taliyah,Pantheon,Aphelios,Miss Fortune,Thresh,Zed,Illaoi,Gragas,4.0,6.8,20.6,9.0,0.0,1.0,-1993.0,0.0,-1938.0,1592.8,1.0,6.0,17865.0,15928.0,45.0,206.0,0.0,14.0,13.0,0.0,4526133153.0,60.0,150.0,8.0,7.2,24.4,6.0,1.0,1.0,1993.0,1.0,1938.0,1786.6,0.0,9.0,19858.0,17866.0,45.0,244.0,0.0,0.0,41.0
4,Bard,Veigar,Rek'Sai,Syndra,Fiora,Zac,Jarvan IV,Ezreal,Mordekaiser,Kha'Zix,13.0,7.4,25.2,5.0,0.0,0.0,2086.0,1.0,3412.0,1886.6,0.0,10.0,19651.0,18866.0,51.0,252.0,0.0,5.0,39.0,0.0,4516105924.0,109.0,59.0,8.0,7.0,20.7,10.0,0.0,0.0,-2086.0,0.0,-3412.0,1545.4,0.0,5.0,17565.0,15454.0,49.0,207.0,0.0,3.0,18.0
5,Olaf,Yuumi,Diana,Tristana,Maokai,Gnar,Miss Fortune,Shaco,Thresh,Zoe,2.0,7.0,21.4,4.0,0.0,1.0,-346.0,0.0,-1476.0,1453.6,1.0,1.0,17837.0,14536.0,63.0,214.0,0.0,4.0,12.0,1.0,4515542024.0,93.0,84.0,4.0,7.0,25.3,1.0,1.0,1.0,346.0,1.0,1476.0,1601.2,0.0,4.0,18183.0,16012.0,48.0,253.0,0.0,5.0,19.0
6,Akali,Kled,Elise,Zilean,Kai'Sa,Garen,Syndra,Sett,Olaf,LeBlanc,9.0,6.6,18.2,7.0,0.0,1.0,446.0,1.0,473.0,1651.7,1.0,7.0,16968.0,16517.0,50.0,182.0,0.0,4.0,18.0,0.0,4524259924.0,60.0,124.0,7.0,6.6,18.3,7.0,1.0,1.0,-446.0,0.0,-473.0,1604.4,0.0,7.0,16522.0,16044.0,42.0,183.0,0.0,2.0,18.0
7,Tryndamere,Aphelios,Jarvan IV,Zoe,Sett,Karthus,Ezreal,Kassadin,Vayne,Thresh,1.0,7.0,23.2,10.0,0.0,0.0,-1995.0,0.0,-3449.0,1523.9,0.0,2.0,18073.0,15239.0,52.0,232.0,0.0,2.0,17.0,0.0,4520801995.0,91.0,113.0,13.0,7.6,23.1,2.0,1.0,1.0,1995.0,1.0,3449.0,1868.8,0.0,10.0,20068.0,18688.0,57.0,231.0,0.0,0.0,17.0
8,Elise,Pantheon,Camille,Yuumi,Syndra,Kai'Sa,Lee Sin,Diana,Nautilus,Rumble,3.0,6.6,20.0,6.0,0.0,0.0,-2496.0,0.0,-1945.0,1464.9,0.0,3.0,15693.0,14649.0,48.0,200.0,0.0,3.0,18.0,0.0,4510792748.0,101.0,156.0,7.0,7.0,21.6,3.0,1.0,1.0,2496.0,1.0,1945.0,1659.4,0.0,6.0,18189.0,16594.0,61.0,216.0,0.0,3.0,13.0
9,Miss Fortune,Yuumi,Lee Sin,Jayce,LeBlanc,Aphelios,Zac,Zilean,Rammus,Rengar,12.0,7.0,19.3,6.0,1.0,1.0,87.0,1.0,273.0,1667.9,0.0,7.0,17760.0,16679.0,47.0,193.0,0.0,2.0,13.0,1.0,4517778477.0,209.0,97.0,9.0,6.8,21.5,7.0,0.0,0.0,-87.0,0.0,-273.0,1640.6,0.0,6.0,17673.0,16406.0,48.0,215.0,0.0,3.0,12.0
